Dataset,Approach,Mean regret,p-value,win count,Mean Exploration,p-value (exploration)
MNIST binary,Neural-CBP,1351.92,1.0,15.0,638.32,1.0
MNIST binary,IneurAL (official),1701.72,0.0,0.0,1311.44,0.0
MNIST binary,IneurAL (less exploration),1701.28,0.103,8.0,624.96,0.756
MNIST binary,Neuronal (official),1730.08,0.0,0.0,1558.76,0.0
MNIST binary,Neuronal (less exploration),1440.48,0.005,2.0,987.84,0.0
MNIST binary,Cesa,2627.52,0.0,0.0,303.28,0.0
MNIST binary,Margin,3169.6,0.0,0.0,100.28,0.0
MagicTelescope,Neural-CBP,3370.36,1.0,16.0,496.68,1.0
MagicTelescope,IneurAL (official),7343.04,0.0,0.0,6452.8,0.0
MagicTelescope,IneurAL (less exploration),4473.2,0.0,0.0,3138.28,0.0
MagicTelescope,Neuronal (official),4226.96,0.002,0.0,2555.96,0.0
MagicTelescope,Neuronal (less exploration),3372.2,0.994,4.0,556.52,0.631
MagicTelescope,Cesa,3245.64,0.623,3.0,328.76,0.033
MagicTelescope,Margin,3574.12,0.483,2.0,58.04,0.0
adult,Neural-CBP,2968.88,1.0,10.0,127.64,1.0
adult,IneurAL (official),8243.12,0.0,0.0,7610.2,0.0
adult,IneurAL (less exploration),3909.48,0.027,2.0,1136.24,0.0
adult,Neuronal (official),4819.44,0.001,1.0,3395.52,0.0
adult,Neuronal (less exploration),2523.64,0.155,3.0,305.96,0.032
adult,Cesa,3180.0,0.643,3.0,320.12,0.001
adult,Margin,3166.56,0.682,6.0,19.92,0.0
