Dataset,Approach,Mean regret,p-value,win count,Mean Exploration,p-value (exploration)
MNIST binary,Neural-CBP,1351.92,1.0,10.0,638.32,1.0
MNIST binary,IneurAL (official),1701.72,0.0,0.0,1311.44,0.0
MNIST binary,IneurAL (less exploration),1701.28,0.103,2.0,624.96,0.756
MNIST binary,Neuronal (official),1566.16,0.0,0.0,1363.88,0.0
MNIST binary,Neuronal (less exploration),1646.16,0.172,13.0,778.4,0.01
MNIST binary,Cesa,2627.52,0.0,0.0,303.28,0.0
MNIST binary,Margin,3169.6,0.0,0.0,100.28,0.0
MagicTelescope,Neural-CBP,3370.36,1.0,14.0,496.68,1.0
MagicTelescope,IneurAL (official),7343.04,0.0,0.0,6452.8,0.0
MagicTelescope,IneurAL (less exploration),4473.2,0.0,0.0,3138.28,0.0
MagicTelescope,Neuronal (official),3716.8,0.207,0.0,1604.84,0.0
MagicTelescope,Neuronal (less exploration),3287.0,0.769,7.0,444.64,0.613
MagicTelescope,Cesa,3245.64,0.623,1.0,328.76,0.033
MagicTelescope,Margin,3574.12,0.483,3.0,58.04,0.0
adult,Neural-CBP,2968.88,1.0,10.0,127.64,1.0
adult,IneurAL (official),8243.12,0.0,0.0,7610.2,0.0
adult,IneurAL (less exploration),3909.48,0.027,0.0,1136.24,0.0
adult,Neuronal (official),3222.24,0.551,1.0,951.72,0.025
adult,Neuronal (less exploration),3035.92,0.884,5.0,89.64,0.379
adult,Cesa,3180.0,0.643,3.0,320.12,0.001
adult,Margin,3166.56,0.682,6.0,19.92,0.0
