Dataset,Approach,Mean regret,p-value,win count,Mean Exploration,p-value (exploration)
MNIST,Neural-CBP,1811.96,1.0,25.0,1305.24,1.0
MNIST,IneurAL (official),4016.84,0.0,0.0,3870.12,0.0
MNIST,IneurAL (less exploration),2371.36,0.0,0.0,1818.56,0.0
MNIST,Neuronal (official),4123.8,0.0,0.0,4093.68,0.0
MNIST,Neuronal (less exploration),2722.72,0.0,0.0,2605.16,0.0
Fashion,Neural-CBP,2898.24,1.0,25.0,1523.92,1.0
Fashion,IneurAL (official),4882.48,0.0,0.0,4382.88,0.0
Fashion,IneurAL (less exploration),3437.76,0.0,0.0,2210.2,0.0
Fashion,Neuronal (official),4881.16,0.0,0.0,4709.56,0.0
Fashion,Neuronal (less exploration),3584.28,0.0,0.0,3089.64,0.0
covertype,Neural-CBP,5060.24,1.0,20.0,446.96,1.0
covertype,IneurAL (official),9129.68,0.0,1.0,8235.72,0.0
covertype,IneurAL (less exploration),7707.72,0.0,0.0,4862.12,0.0
covertype,Neuronal (official),7831.48,0.0,0.0,7287.32,0.0
covertype,Neuronal (less exploration),5659.96,0.0,4.0,3431.8,0.0
shuttle,Neural-CBP,907.56,1.0,20.0,190.08,1.0
shuttle,IneurAL (official),7989.88,0.0,0.0,7901.0,0.0
shuttle,IneurAL (less exploration),2810.08,0.0,0.0,2292.48,0.0
shuttle,Neuronal (official),1661.08,0.0,1.0,1277.04,0.0
shuttle,Neuronal (less exploration),1666.0,0.0,4.0,404.56,0.011
