,,,Value,f1_10,f1_50,f1_100,f1_250,f1_500,f1_750,f1_1000,f1_2500,f1_5000,f1_7500,f1_9000
,,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
Model,Dataset,Approach,,,,,,,,,,,,
MLP,MNISTbinary,Cesa,4892.52,0.32514372236366074,0.3251437223636607,0.3251437223636607,,,,,,,,
MLP,MNISTbinary,IneurAL (official),3929.48,0.6120911135615876,0.7520623258665708,0.7944280407786896,0.8575834155331938,0.8841138292761214,0.9069827050263339,0.9227581241755947,0.9438712339013453,0.9600153700411,0.9670895754287607,0.9696144056340508
MLP,MNISTbinary,IneurAL (tuned),1726.96,0.45660508940723665,0.6178903710760901,0.7290107120060061,0.8116669485630821,0.8583880182576009,0.8841658370705366,0.9020441148633913,0.9371699025402833,0.9530777274755581,0.9592090694261671,0.9631191181463596
MLP,MNISTbinary,Margin,3216.72,0.32514372236366074,0.3251437223636607,0.3251437223636607,0.3251437223636607,0.3251437223636607,0.3251437223636607,0.3251437223636607,0.3251437223636607,0.3251437223636607,0.3251437223636607,0.3251437223636607
MLP,MNISTbinary,Neural-CBP,1351.92,0.4187236455191634,0.6333123807515856,0.6952495361781541,0.7322792766423503,0.7839484645110982,0.8263543693076555,0.855935467091942,0.8878646315627998,0.9295521107790163,0.9401606644549595,0.9498037199437687
MLP,MNISTbinary,Neuronal (official),1721.88,0.48815850892239043,0.7481375384300403,0.7623186234416355,0.8040928625204429,0.8508932098772525,0.8759487855728914,0.8954543745263414,0.9418630856025193,0.9588962453814355,0.9647247924574596,0.9671685860520033
MLP,MNISTbinary,Neuronal (tuned),1721.44,0.46661623756856085,0.6603608579015722,0.6862018024890947,0.7358212006525333,0.8194725640587093,0.8521572510178888,0.870334081026788,0.9156049071517665,0.9439736567274121,0.953555015966933,0.957199504864918
MLP,MagicTelescope,Cesa,3451.64,0.39092332261690493,0.3856411251496081,0.3856411251496081,0.3895312590532918,0.3619788108875971,0.3534191911301493,0.3649374627865491,0.3649374627865491,0.3552567200777308,0.34317636853619865,0.34317636853619865
MLP,MagicTelescope,IneurAL (official),8999.76,0.5500285149608335,0.6326601512627491,0.6556987642499733,0.6847883764511701,0.7240592760786414,0.7439315326280083,0.7501321184999555,0.7620125695230421,0.7658292930039162,0.7680163678855141,0.803735020831012
MLP,MagicTelescope,IneurAL (tuned),6184.0,0.4168951210992495,0.5204909819059603,0.5883539683995102,0.6284736691068479,0.7083190879548115,0.7525773333414644,0.7938632463635055,0.8022039758252307,0.8034335881150138,0.8036997108620484,0.8067524012395331
MLP,MagicTelescope,Margin,3445.8,0.35628439967038134,0.36905349271461907,0.36905349271461907,0.36905349271461907,0.36905349271461907,0.36905349271461907,0.36905349271461907,0.36905349271461907,0.36172874541212807,0.3718717078101849,0.38366056576172186
MLP,MagicTelescope,Neural-CBP,3362.6,0.5057799843882317,0.5361009952440746,0.6060886698387933,0.6496020301261338,0.6736291516794926,0.6960498341461248,0.7121665239670009,0.7290946618075788,0.7501617195464905,0.7698039229932656,0.7833788770288881
MLP,MagicTelescope,Neuronal (official),4307.36,0.46428351009644364,0.6370213544602645,0.6351561047776049,0.6443665054181144,0.6681319630497167,0.6852267082831551,0.6941818660850488,0.7110760046421624,0.7476214211030295,0.7843820641285243,0.7949084532345202
MLP,MagicTelescope,Neuronal (tuned),4296.48,0.40062776942683537,0.5726522696531713,0.619743327661807,0.6895488689538073,0.6974367644348877,0.7036380631526076,0.7024433187581249,0.7087952703865288,0.7141713915023449,0.7175974604222861,0.7202585964238549
MLP,adult,Cesa,2640.4,0.4316801543131985,0.38956614332384154,0.3397442024080233,0.2955019115907869,0.2955019115907869,0.2955019115907869,0.2955019115907869,0.2955019115907869,0.2955019115907869,0.2955019115907869,0.2955019115907869
MLP,adult,IneurAL (official),8974.72,0.5762448114481423,0.6415349120477821,0.6020278558747596,0.6736368581071959,0.7144108636054318,0.7412343863151005,0.7488886317101155,0.6951847280265664,0.759210190560038,0.7735082436741911,0.7750712272364348
MLP,adult,IneurAL (tuned),4904.08,0.498365444421229,0.5342239816349779,0.6621307681185523,0.7243690835891005,0.6921932666440287,0.7356767270849203,0.7468920118228627,0.7546006797137623,0.7439288665253178,0.7519211367340194,
MLP,adult,Margin,2331.44,0.40891397780670724,0.5320653763850169,0.587180270340777,0.5638703375647884,0.5638703375647884,0.5445769661598241,0.46702936010873186,0.6535893453012964,0.6535893453012964,,
MLP,adult,Neural-CBP,2642.76,0.6575725204069087,0.6214365685306112,0.6046836074089719,0.6908977056283049,0.6943093230388415,0.7352396337540347,0.738203778063008,0.7380712493921834,0.66414185821424,0.7205299250421792,0.7335725228291623
MLP,adult,Neuronal (official),4730.92,0.6129299742376084,0.6659172494395872,0.6700079039443105,0.6742412195597937,0.6813496597372263,0.6902421465370188,0.6971824334044461,0.7106020997626327,0.7301637941418375,0.7401349105574203,0.7430238880694305
MLP,adult,Neuronal (tuned),3717.32,0.5014661219109544,0.6665775162301224,0.6769275039608855,0.6839074104093381,0.573204609153177,0.6994274780036885,0.7042709911810707,0.711023782265733,0.7101193464346983,0.7335001957234795,
