Seed,Model,Dataset,Approach,Value,f1_10,f1_50,f1_100,f1_250,f1_500,f1_750,f1_1000,f1_2500,f1_5000,f1_7500,f1_9000
0,MLP,MNISTbinary,Neural-CBP,1353.0,0.6069523936517051,0.6581413703853908,0.687527304220399,0.6555651101709579,0.6838712693931082,0.8424919129914211,0.8600626527212144,0.904477290793799,0.9409013163829044,0.9505687597389949,0.9579987450359339
1,MLP,MNISTbinary,Neural-CBP,1352.0,0.6264238377246562,0.6971142760198674,0.7325440352182778,0.6682112585838211,0.8483834542293492,0.8083558993539612,0.8692503176249871,0.808366185724257,0.9250020793301145,0.9289047653241476,0.9280298324925242
2,MLP,MNISTbinary,Neural-CBP,1556.0,0.348610179594213,0.7115137596403718,0.7170503110295383,0.7803915106374023,0.5816888225498155,0.8007594903256066,0.7522744880116888,0.8455713124153643,0.9162380600610348,0.9448482660166192,0.9561988503787979
3,MLP,MNISTbinary,Neural-CBP,1298.0,0.38677548139374524,0.7027323242949284,0.748480498739886,0.7524295466597148,0.8528194623190497,0.8637386321849532,0.8621769540169487,0.89489476903445,0.937968855426418,0.9520625671200683,0.9569000633570007
4,MLP,MNISTbinary,Neural-CBP,1346.0,0.33149057077406524,0.6858061376756245,0.7293979181009125,0.6224728890275361,0.7118737804365676,0.8442679858305623,0.8754524077234402,0.8783350655935077,0.9379749808481147,0.9536925267710002,0.9582020483967281
5,MLP,MNISTbinary,Neural-CBP,1266.0,0.4874498346434767,0.6462877035064896,0.45146362040500354,0.7864704275082562,0.8698586574724846,0.8751384434824393,0.8984382306513531,0.8815516713444351,0.9392032687418875,0.9492784415973269,0.9446121207720205
6,MLP,MNISTbinary,Neural-CBP,1200.0,0.38209174739616203,0.39599730367112096,0.6150321108442984,0.6931056134156114,0.8103652726407119,0.8679591020879336,0.8915058105948154,0.8922691198545117,0.934396495849745,0.9311135375005446,0.9434013246638682
7,MLP,MNISTbinary,Neural-CBP,1546.0,0.5041562562600794,0.6861276577728442,0.7909497723505161,0.7455921335706122,0.6988890023782485,0.7941306559005092,0.8310291577254817,0.887569717887192,0.9247372505087442,0.932870043798431,0.9381665812619847
8,MLP,MNISTbinary,Neural-CBP,1196.0,0.3274233253326428,0.6525884083648658,0.6983386550552969,0.7974546713615024,0.8440140762161816,0.870886950284136,0.86484114328741,0.9096688687722624,0.9397030361902865,0.935024369750551,0.9407029338470456
9,MLP,MNISTbinary,Neural-CBP,1272.0,0.3484217572387729,0.6672082822016091,0.6244168432617564,0.7342703344990984,0.7717543278719353,0.8727220920510687,0.8417519246634921,0.9196015085748795,0.9360030029435423,0.9534024605685805,0.961302115854449
10,MLP,MNISTbinary,Neural-CBP,1377.0,0.37711203072687216,0.5955234503481853,0.7540316108576692,0.7422155416034855,0.7546235031418556,0.7471219682518631,0.8468343004855986,0.9001752471247126,0.9296774913268753,0.9552840150839338,0.9519860206464298
11,MLP,MNISTbinary,Neural-CBP,1255.0,0.37530247891851654,0.37417860676196957,0.6584162466503531,0.8190414157847167,0.8651035977988663,0.8741829414854565,0.8631794594154039,0.8993799400988122,0.9209583942801047,0.9391362080639243,0.9598020407323191
12,MLP,MNISTbinary,Neural-CBP,1326.0,0.3236026436915461,0.7302200965334464,0.75677637438675,0.780250162128302,0.8347031962739188,0.8422760439854801,0.8417263587739037,0.9148742581006336,0.9212058733830981,0.9487966084680456,0.9567901671054635
13,MLP,MNISTbinary,Neural-CBP,1284.0,0.3340244144672532,0.6152366229642668,0.7557793623761463,0.8007464215553,0.8497143551470107,0.8192757797020498,0.8868721203866746,0.8465431184026853,0.9354008914808916,0.9432620315354813,0.9533003339050836
14,MLP,MNISTbinary,Neural-CBP,1738.0,0.43035454893250746,0.47327038002882266,0.6603594232269974,0.4644380091805578,0.753228866813818,0.5568984643450509,0.8067598349661806,0.8615036943908683,0.9124012091102631,0.8767628899472071,0.93927628041877
15,MLP,MNISTbinary,Neural-CBP,1469.0,0.365569713461145,0.6680560362015403,0.6028431084131897,0.7105100823967432,0.671110988471191,0.7727996770504034,0.8511710485068102,0.9061004084650367,0.9369852415198584,0.9548792112621957,0.9590020467753447
16,MLP,MNISTbinary,Neural-CBP,1314.0,0.544163787750212,0.6273738810526687,0.6901730788515833,0.7814303878925658,0.8348396472438635,0.8215339629842774,0.8599435362431512,0.9008995510769597,0.9332524546560395,0.922979463387169,0.957296290123108
17,MLP,MNISTbinary,Neural-CBP,1268.0,0.37731212980452844,0.696729016682624,0.7319502486543341,0.7282880707206418,0.8415212225836299,0.8633326196002578,0.8919937791362983,0.90320798175058,0.914999974726608,0.9390871533454165,0.9499022622644149
18,MLP,MNISTbinary,Neural-CBP,1486.0,0.30854097068396424,0.6587584494728701,0.7265386182623413,0.6485015247060741,0.8201195837817333,0.8399895696139541,0.858299413457635,0.8660542689606678,0.9394989415874229,0.9524006568806568,0.9567943728784394
19,MLP,MNISTbinary,Neural-CBP,1317.0,0.42367271046930494,0.766886460477879,0.710456540060865,0.8081950659810717,0.7034185511664378,0.8370917955105753,0.86102139743101,0.8923641215379498,0.9215656244094825,0.9396033076851287,0.9524967475118359
20,MLP,MNISTbinary,Neural-CBP,1319.0,0.3483971897475604,0.585380735849365,0.7219180935039848,0.7471115701278066,0.8234750076115557,0.872306532419989,0.8743055145516996,0.9012828915638543,0.9256215481863553,0.9275644412668779,0.9471886893238352
21,MLP,MNISTbinary,Neural-CBP,1278.0,0.3858660481687847,0.5613315356367274,0.6840876135708411,0.8045513739041391,0.8535353085207859,0.8661249067493847,0.866753649042538,0.8988002955670032,0.9274734974268933,0.9365537465558885,0.9532011982763255
22,MLP,MNISTbinary,Neural-CBP,1284.0,0.3755940632286137,0.6327824310848459,0.6735638878811447,0.6451984045123134,0.827657966467678,0.8550399454190799,0.8938017331864958,0.9068264478102906,0.9353339956486326,0.9568986320554941,0.9506404597645552
23,MLP,MNISTbinary,Neural-CBP,1376.0,0.5259166221896907,0.683495533773292,0.7294690597609224,0.801563729468599,0.7884034407819874,0.8122369910937551,0.8413068463384461,0.8731040442785274,0.9326035939061498,0.936762674626579,0.9516838883284272
24,MLP,MNISTbinary,Neural-CBP,1322.0,0.6228664017290665,0.6600690583880245,0.7296740687708472,0.7889766606619253,0.7037382514656716,0.8381968699872206,0.807634598355872,0.9031940099467549,0.919695691543943,0.9422798330237243,0.9202175844795102
0,MLP,MNISTbinary,IneurAL (official),4050.0,0.6419223120627088,0.7035133993081635,0.7784039998207057,0.8562053166202191,0.8867994517801988,0.8935208482649072,0.9113968678416604,0.9465029164238509,0.9595971444867664,0.9669970539712325,0.968201695701414
1,MLP,MNISTbinary,IneurAL (official),3515.0,0.6149105184681218,0.7264719962696465,0.7344595600945794,0.8388199045168547,0.8833868514394655,0.9222683115604985,0.9349918844889052,0.9429798597402198,0.9538943696110062,0.9681017440609183,0.9650969688736197
2,MLP,MNISTbinary,IneurAL (official),4350.0,0.6573355973288093,0.7139812550529859,0.8037014038320694,0.8459894709104403,0.8843650447147269,0.9238930252809285,0.9361019649372809,0.9067628556519798,0.96410117286155,0.9656865966781519,0.9663899574583976
3,MLP,MNISTbinary,IneurAL (official),4117.0,0.6408465555472398,0.7164521568217975,0.7830214357344307,0.8517873188590813,0.8874608662613318,0.9226622319549953,0.9295762518364823,0.9509025784452386,0.9619007602294769,0.9676011471197249,0.9666978664204856
4,MLP,MNISTbinary,IneurAL (official),4037.0,0.6902748144330505,0.7986458011334364,0.8109050888688809,0.8345484048711911,0.8908059103014088,0.9036433788930349,0.921965866404157,0.9502978504615653,0.9643001553276576,0.9665844521477369,0.9708007476424938
5,MLP,MNISTbinary,IneurAL (official),3994.0,0.5478806262074941,0.759519137230524,0.8000315189772971,0.8683946268593605,0.8865864795194311,0.892816663913949,0.9134110504355458,0.9400028521697983,0.9607021486393129,0.9623881897555435,0.9652995095681134
6,MLP,MNISTbinary,IneurAL (official),4003.0,0.6579245614168728,0.6775612777371374,0.818885961546324,0.8415035332114643,0.8912872930649104,0.9111760888013377,0.9085090001250781,0.9492013006931055,0.9598760949759629,0.9702008869843827,0.971196404204315
7,MLP,MNISTbinary,IneurAL (official),3933.0,0.6139162927262659,0.7739896274079355,0.6360673215026607,0.8648413628560254,0.8962856362182958,0.921273747649011,0.921158885750995,0.9372909676595382,0.9583019797009492,0.9655009920300048,0.9678955537377752
8,MLP,MNISTbinary,IneurAL (official),3631.0,0.6512674024806531,0.68996058890932,0.7989319598940945,0.8663277549611837,0.9001571527146727,0.9032394010941687,0.9207024388439726,0.9476817204010535,0.9564871689065976,0.9679002295619432,0.9765010611419908
9,MLP,MNISTbinary,IneurAL (official),4320.0,0.3250994974874373,0.7620975535563721,0.7817218991270706,0.8576883126849014,0.875289169585684,0.8991004390073013,0.9266936315228058,0.9509022171094365,0.9623011592822455,0.9724014937770687,0.9689015385570179
10,MLP,MNISTbinary,IneurAL (official),3763.0,0.661298422595103,0.728170494567429,0.7818777321878417,0.8377385921267727,0.8448822119955688,0.9146708696644524,0.9228010653610654,0.9424027026491881,0.9536834528673916,0.9675015064055047,0.9683017204362304
11,MLP,MNISTbinary,IneurAL (official),3885.0,0.6902348259910451,0.7116447168360875,0.7972884849769167,0.8397807143889877,0.9012041298996357,0.9162942687734877,0.9077573293667921,0.9476028674766499,0.9617982713086214,0.9679988028540248,0.9678998545538369
12,MLP,MNISTbinary,IneurAL (official),3887.0,0.6627098901329748,0.6965369729904481,0.7782095828777469,0.8532977712910154,0.8941773358042002,0.8931893456020458,0.9265812810524807,0.9314806325749041,0.9687977940208194,0.9711005765562973,0.970197893705585
13,MLP,MNISTbinary,IneurAL (official),3884.0,0.46858164654005496,0.7599594290218588,0.8315079995110302,0.8563594088749965,0.8490720674369105,0.9118857860695396,0.922871815884324,0.949902322182024,0.9610020359649132,0.9663018181918185,0.9657984527815408
14,MLP,MNISTbinary,IneurAL (official),3746.0,0.5580971750871835,0.7320170511144993,0.8279244681479149,0.8818037498621295,0.875705290481832,0.8946536582781075,0.9124572778244068,0.9402009761165425,0.9601021846478865,0.9696992589681153,0.9716959214997132
15,MLP,MNISTbinary,IneurAL (official),3646.0,0.6700468364667124,0.7747709555578668,0.800037161699684,0.8726288892002801,0.903590930479038,0.9201371748071324,0.9271246579518353,0.9442374108032718,0.9605983730866939,0.964199669207881,0.9695016699639923
16,MLP,MNISTbinary,IneurAL (official),3567.0,0.6400377344516627,0.7917774603455433,0.8036129963320201,0.851925602904391,0.8828810990255752,0.8934696023618486,0.9285023359220289,0.9562016258726489,0.9652017052426313,0.967801248086428,0.9721004205319296
17,MLP,MNISTbinary,IneurAL (official),3716.0,0.6695609100615094,0.7966486790658022,0.8323074963793206,0.8636255739763341,0.879621593302658,0.909061373013676,0.918219034980817,0.9449859735406874,0.9535894387429052,0.9677896370369053,0.9682961268193809
18,MLP,MNISTbinary,IneurAL (official),3989.0,0.32358748416160094,0.7383436854493034,0.7447009119253855,0.8522471818321479,0.8371621380163188,0.8889997791108093,0.9241018606186255,0.9482717694392991,0.9572981532134576,0.9598872572224952,0.9713009377662983
19,MLP,MNISTbinary,IneurAL (official),3937.0,0.6015701146528413,0.7955946351010568,0.8110738456899803,0.8801972829306746,0.8829769906219379,0.9214532033818726,0.926288109345347,0.9434669182552782,0.9616926528204717,0.9660968918831386,0.9709015443944671
20,MLP,MNISTbinary,IneurAL (official),4113.0,0.6124430103725361,0.7586479864466146,0.8025258928311442,0.8621982798373813,0.8966308815126951,0.9038043977593377,0.922000873771259,0.9451903392682413,0.9601950308101297,0.9682016383873797,0.9715011273189473
