,Model,Dataset,Approach,Value
0,MLP,MNIST binary,Neural-CBP,1353.0
1,MLP,MNIST binary,Neural-CBP,1352.0
2,MLP,MNIST binary,Neural-CBP,1556.0
3,MLP,MNIST binary,Neural-CBP,1298.0
4,MLP,MNIST binary,Neural-CBP,1346.0
5,MLP,MNIST binary,Neural-CBP,1266.0
6,MLP,MNIST binary,Neural-CBP,1200.0
7,MLP,MNIST binary,Neural-CBP,1546.0
8,MLP,MNIST binary,Neural-CBP,1196.0
9,MLP,MNIST binary,Neural-CBP,1272.0
10,MLP,MNIST binary,Neural-CBP,1377.0
11,MLP,MNIST binary,Neural-CBP,1255.0
12,MLP,MNIST binary,Neural-CBP,1326.0
13,MLP,MNIST binary,Neural-CBP,1738.0
14,MLP,MNIST binary,Neural-CBP,1284.0
15,MLP,MNIST binary,Neural-CBP,1469.0
16,MLP,MNIST binary,Neural-CBP,1314.0
17,MLP,MNIST binary,Neural-CBP,1268.0
18,MLP,MNIST binary,Neural-CBP,1317.0
19,MLP,MNIST binary,Neural-CBP,1319.0
20,MLP,MNIST binary,Neural-CBP,1278.0
21,MLP,MNIST binary,Neural-CBP,1376.0
22,MLP,MNIST binary,Neural-CBP,1284.0
23,MLP,MNIST binary,Neural-CBP,1486.0
24,MLP,MNIST binary,Neural-CBP,1322.0
25,MLP,MNIST binary,IneurAL (official),3515.0
26,MLP,MNIST binary,IneurAL (official),4350.0
27,MLP,MNIST binary,IneurAL (official),4050.0
28,MLP,MNIST binary,IneurAL (official),3763.0
29,MLP,MNIST binary,IneurAL (official),3885.0
30,MLP,MNIST binary,IneurAL (official),3933.0
31,MLP,MNIST binary,IneurAL (official),3887.0
32,MLP,MNIST binary,IneurAL (official),4037.0
33,MLP,MNIST binary,IneurAL (official),4320.0
34,MLP,MNIST binary,IneurAL (official),4003.0
35,MLP,MNIST binary,IneurAL (official),4117.0
36,MLP,MNIST binary,IneurAL (official),3994.0
37,MLP,MNIST binary,IneurAL (official),4113.0
38,MLP,MNIST binary,IneurAL (official),3884.0
39,MLP,MNIST binary,IneurAL (official),3646.0
40,MLP,MNIST binary,IneurAL (official),3937.0
41,MLP,MNIST binary,IneurAL (official),3716.0
42,MLP,MNIST binary,IneurAL (official),3567.0
43,MLP,MNIST binary,IneurAL (official),3989.0
44,MLP,MNIST binary,IneurAL (official),3746.0
45,MLP,MNIST binary,IneurAL (official),4122.0
46,MLP,MNIST binary,IneurAL (official),4128.0
47,MLP,MNIST binary,IneurAL (official),4171.0
48,MLP,MNIST binary,IneurAL (official),3733.0
49,MLP,MNIST binary,IneurAL (tuned),1476.0
50,MLP,MNIST binary,IneurAL (tuned),5081.0
51,MLP,MNIST binary,IneurAL (tuned),1673.0
52,MLP,MNIST binary,IneurAL (tuned),1596.0
53,MLP,MNIST binary,IneurAL (tuned),1627.0
54,MLP,MNIST binary,IneurAL (tuned),1557.0
55,MLP,MNIST binary,IneurAL (tuned),1621.0
56,MLP,MNIST binary,IneurAL (tuned),1679.0
57,MLP,MNIST binary,IneurAL (tuned),1565.0
58,MLP,MNIST binary,IneurAL (tuned),1572.0
59,MLP,MNIST binary,IneurAL (tuned),1594.0
60,MLP,MNIST binary,IneurAL (tuned),1647.0
61,MLP,MNIST binary,IneurAL (tuned),1542.0
62,MLP,MNIST binary,IneurAL (tuned),1597.0
63,MLP,MNIST binary,IneurAL (tuned),1522.0
64,MLP,MNIST binary,IneurAL (tuned),1676.0
65,MLP,MNIST binary,IneurAL (tuned),1528.0
66,MLP,MNIST binary,IneurAL (tuned),1519.0
67,MLP,MNIST binary,IneurAL (tuned),1585.0
68,MLP,MNIST binary,IneurAL (tuned),1631.0
69,MLP,MNIST binary,IneurAL (tuned),1685.0
70,MLP,MNIST binary,IneurAL (tuned),1522.0
71,MLP,MNIST binary,IneurAL (tuned),1557.0
72,MLP,MNIST binary,IneurAL (tuned),1522.0
73,MLP,MNIST binary,IneurAL (tuned),1600.0
74,MLP,MNIST binary,Neuronal (official),1670.0
75,MLP,MNIST binary,Neuronal (official),1690.0
76,MLP,MNIST binary,Neuronal (official),1692.0
77,MLP,MNIST binary,Neuronal (official),1730.0
78,MLP,MNIST binary,Neuronal (official),1743.0
79,MLP,MNIST binary,Neuronal (official),1775.0
80,MLP,MNIST binary,Neuronal (official),1737.0
81,MLP,MNIST binary,Neuronal (official),1698.0
82,MLP,MNIST binary,Neuronal (official),1721.0
83,MLP,MNIST binary,Neuronal (official),1701.0
84,MLP,MNIST binary,Neuronal (official),1772.0
85,MLP,MNIST binary,Neuronal (official),1824.0
86,MLP,MNIST binary,Neuronal (official),1748.0
87,MLP,MNIST binary,Neuronal (official),1610.0
88,MLP,MNIST binary,Neuronal (official),1684.0
89,MLP,MNIST binary,Neuronal (official),1720.0
90,MLP,MNIST binary,Neuronal (official),1680.0
91,MLP,MNIST binary,Neuronal (official),1746.0
92,MLP,MNIST binary,Neuronal (official),1730.0
93,MLP,MNIST binary,Neuronal (official),1799.0
94,MLP,MNIST binary,Neuronal (official),1684.0
95,MLP,MNIST binary,Neuronal (official),1664.0
96,MLP,MNIST binary,Neuronal (official),1788.0
97,MLP,MNIST binary,Neuronal (official),1720.0
98,MLP,MNIST binary,Neuronal (official),1721.0
99,MLP,MNIST binary,Neuronal (tuned),1338.0
100,MLP,MNIST binary,Neuronal (tuned),1351.0
101,MLP,MNIST binary,Neuronal (tuned),1531.0
102,MLP,MNIST binary,Neuronal (tuned),1452.0
103,MLP,MNIST binary,Neuronal (tuned),5186.0
104,MLP,MNIST binary,Neuronal (tuned),1447.0
105,MLP,MNIST binary,Neuronal (tuned),1483.0
106,MLP,MNIST binary,Neuronal (tuned),1365.0
107,MLP,MNIST binary,Neuronal (tuned),1483.0
108,MLP,MNIST binary,Neuronal (tuned),1366.0
109,MLP,MNIST binary,Neuronal (tuned),1413.0
110,MLP,MNIST binary,Neuronal (tuned),1375.0
111,MLP,MNIST binary,Neuronal (tuned),1575.0
112,MLP,MNIST binary,Neuronal (tuned),1467.0
113,MLP,MNIST binary,Neuronal (tuned),5111.0
114,MLP,MNIST binary,Neuronal (tuned),1357.0
115,MLP,MNIST binary,Neuronal (tuned),1387.0
116,MLP,MNIST binary,Neuronal (tuned),1379.0
117,MLP,MNIST binary,Neuronal (tuned),1374.0
118,MLP,MNIST binary,Neuronal (tuned),1422.0
119,MLP,MNIST binary,Neuronal (tuned),1392.0
120,MLP,MNIST binary,Neuronal (tuned),1343.0
121,MLP,MNIST binary,Neuronal (tuned),1474.0
122,MLP,MNIST binary,Neuronal (tuned),1528.0
123,MLP,MNIST binary,Neuronal (tuned),1437.0
124,MLP,MNIST binary,Margin,5077.0
125,MLP,MNIST binary,Margin,2116.0
126,MLP,MNIST binary,Margin,2552.0
127,MLP,MNIST binary,Margin,2114.0
128,MLP,MNIST binary,Margin,2059.0
129,MLP,MNIST binary,Margin,1998.0
130,MLP,MNIST binary,Margin,5095.0
