Dataset,Approach,Mean regret,p-value,win count,Mean Exploration,p-value (exploration)
MNIST binary,Neural-CBP,1351.92,1.0,17.0,638.32,1.0
MNIST binary,IneurAL (official),3929.48,0.0,0.0,3882.92,0.0
MNIST binary,IneurAL (tuned),1726.96,0.014,0.0,1272.28,0.0
MNIST binary,Neuronal (official),1721.88,0.0,0.0,1547.64,0.0
MNIST binary,Neuronal (tuned),1721.44,0.088,8.0,906.72,0.0
MNIST binary,Cesa,4910.24,0.0,0.0,1.32,0.0
MNIST binary,Margin,3216.72,0.0,0.0,107.56,0.0
MagicTelescope,Neural-CBP,3370.36,1.0,13.0,496.68,1.0
MagicTelescope,IneurAL (official),9010.64,0.0,0.0,8646.32,0.0
MagicTelescope,IneurAL (tuned),5946.04,0.0,0.0,3643.76,0.0
MagicTelescope,Neuronal (official),4324.56,0.001,0.0,2415.32,0.0
MagicTelescope,Neuronal (tuned),4442.16,0.006,1.0,18.6,0.0
MagicTelescope,Cesa,3398.24,0.923,8.0,234.52,0.002
MagicTelescope,Margin,3536.04,0.535,3.0,46.2,0.0
adult,Neural-CBP,2968.88,1.0,12.0,127.64,1.0
adult,IneurAL (official),8165.56,0.0,0.0,5391.32,0.0
adult,IneurAL (tuned),4421.84,0.009,0.0,925.52,0.018
adult,Neuronal (official),4949.8,0.0,1.0,3567.48,0.0
adult,Neuronal (tuned),3292.64,0.51,1.0,148.16,0.747
adult,Cesa,2500.2,0.135,3.0,308.32,0.001
adult,Margin,3186.2,0.663,8.0,9.8,0.0
