Dataset,Approach,Mean regret,p-value,win count
MNIST,Neural-CBP,1811.96,1.0,25.0
MNIST,IneurAL (official),8270.4,0.0,0.0
MNIST,IneurAL (tuned),3384.375,0.0,0.0
MNIST,Neuronal (official),4125.96,0.0,0.0
MNIST,Neuronal (tuned),2729.64,0.0,0.0
Fashion,Neural-CBP,2898.24,1.0,25.0
Fashion,IneurAL (official),7998.4,0.0,0.0
Fashion,IneurAL (tuned),4371.68,0.0,0.0
Fashion,Neuronal (official),4884.08,0.0,0.0
Fashion,Neuronal (tuned),3590.88,0.0,0.0
covertype,Neural-CBP,5060.24,1.0,16.0
covertype,IneurAL (official),6295.64,0.0,1.0
covertype,IneurAL (tuned),6616.04,0.0,4.0
covertype,Neuronal (official),7849.28,0.0,0.0
covertype,Neuronal (tuned),5636.84,0.001,4.0
shuttle,Neural-CBP,907.56,1.0,21.0
shuttle,IneurAL (official),9143.0,0.0,0.0
shuttle,IneurAL (tuned),3978.042,0.0,1.0
shuttle,Neuronal (official),1888.88,0.0,3.0
shuttle,Neuronal (tuned),3451.6,0.0,0.0
